央视频道,#genre#
CCTV15,http://61.178.227.57:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV17,http://zgxsd.f3322.net:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV17,http://61.178.227.57:9901/tsfile/live/0142_1.m3u8?key=txiptv
CCTV世界地理,http://61.178.227.57:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV风云足球,http://61.178.227.57:9901/tsfile/live/1017_1.m3u8?key=txiptv
 
卫视频道,#genre#
湖南卫视,http://223.75.149.129:9906/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://zgxsd.f3322.net:9901/tsfile/live/1047_1.m3u8?key=txiptv
湖南卫视,http://120.233.73.4:19901/tsfile/live/1007_1.m3u8?key=txiptv
湖南卫视,http://113.141.220.47:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://61.178.227.57:9901/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://223.75.149.129:9906/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://zgxsd.f3322.net:9901/tsfile/live/1053_1.m3u8?key=txiptv
浙江卫视,http://120.233.73.4:19901/tsfile/live/1008_1.m3u8?key=txiptv
浙江卫视,http://113.141.220.47:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://61.178.227.57:9901/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://223.75.149.129:9906/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://zgxsd.f3322.net:9901/tsfile/live/1057_1.m3u8?key=txiptv
江苏卫视,http://120.233.73.4:19901/tsfile/live/1009_1.m3u8?key=txiptv
江苏卫视,http://113.141.220.47:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://61.178.227.57:9901/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://223.75.149.129:9906/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://zgxsd.f3322.net:9901/tsfile/live/1068_1.m3u8?key=txiptv
北京卫视,http://120.233.73.4:19901/tsfile/live/1040_1.m3u8?key=txiptv
北京卫视,http://113.141.220.47:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://61.178.227.57:9901/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://223.75.149.129:9906/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://zgxsd.f3322.net:9901/tsfile/live/1058_1.m3u8?key=txiptv
东方卫视,http://120.233.73.4:19901/tsfile/live/1041_1.m3u8?key=txiptv
东方卫视,http://113.141.220.47:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://61.178.227.57:9901/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://223.75.149.129:9906/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://zgxsd.f3322.net:9901/tsfile/live/1060_1.m3u8?key=txiptv
安徽卫视,http://61.178.227.57:9901/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://223.75.149.129:9906/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://zgxsd.f3322.net:9901/tsfile/live/1024_1.m3u8?key=txiptv
广东卫视,http://120.233.73.4:19901/tsfile/live/1004_1.m3u8?key=txiptv
广东卫视,http://61.178.227.57:9901/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://223.75.149.129:9906/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://zgxsd.f3322.net:9901/tsfile/live/1070_1.m3u8?key=txiptv
深圳卫视,http://120.233.73.4:19901/tsfile/live/1034_1.m3u8?key=txiptv
深圳卫视,http://61.178.227.57:9901/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://223.75.149.129:9906/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://zgxsd.f3322.net:9901/tsfile/live/1056_1.m3u8?key=txiptv
辽宁卫视,http://61.178.227.57:9901/tsfile/live/0121_1.m3u8?key=txiptv
山东卫视,http://223.75.149.129:9906/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://zgxsd.f3322.net:9901/tsfile/live/1054_1.m3u8?key=txiptv
山东卫视,http://61.178.227.57:9901/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://223.75.149.129:9906/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://zgxsd.f3322.net:9901/tsfile/live/1069_1.m3u8?key=txiptv
天津卫视,http://61.178.227.57:9901/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://zgxsd.f3322.net:9901/tsfile/live/1065_1.m3u8?key=txiptv
重庆卫视,http://120.233.73.4:19901/tsfile/live/1038_1.m3u8?key=txiptv
重庆卫视,http://61.178.227.57:9901/tsfile/live/0142_2.m3u8?key=txiptv
东南卫视,http://zgxsd.f3322.net:9901/tsfile/live/1051_1.m3u8?key=txiptv
东南卫视,http://61.178.227.57:9901/tsfile/live/0137_1.m3u8?key=txiptv
甘肃卫视,http://61.178.227.57:9901/tsfile/live/0110_1.m3u8?key=txiptv
广西卫视,http://223.75.149.129:9906/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://zgxsd.f3322.net:9901/tsfile/live/1049_1.m3u8?key=txiptv
贵州卫视,http://61.178.227.57:9901/tsfile/live/0120_1.m3u8?key=txiptv
河北卫视,http://223.75.149.129:9906/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://zgxsd.f3322.net:9901/tsfile/live/1067_1.m3u8?key=txiptv
河北卫视,http://61.178.227.57:9901/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://223.75.149.129:9906/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://zgxsd.f3322.net:9901/tsfile/live/1066_1.m3u8?key=txiptv
黑龙江卫视,http://61.178.227.57:9901/tsfile/live/0143_1.m3u8?key=txiptv
河南卫视,http://223.75.149.129:9906/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://zgxsd.f3322.net:9901/tsfile/live/1072_1.m3u8?key=txiptv
河南卫视,http://zgxsd.f3322.net:9901/tsfile/live/1078_1.m3u8?key=txiptv
湖北卫视,http://223.75.149.129:9906/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://zgxsd.f3322.net:9901/tsfile/live/1048_1.m3u8?key=txiptv
湖北卫视,http://120.233.73.4:19901/tsfile/live/1039_1.m3u8?key=txiptv
湖北卫视,http://61.178.227.57:9901/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://223.75.149.129:9906/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://zgxsd.f3322.net:9901/tsfile/live/1075_1.m3u8?key=txiptv
江西卫视,http://61.178.227.57:9901/tsfile/live/0138_1.m3u8?key=txiptv
吉林卫视,http://223.75.149.129:9906/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://zgxsd.f3322.net:9901/tsfile/live/1062_1.m3u8?key=txiptv
陕西卫视,http://113.141.220.47:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://113.141.220.47:9901/tsfile/live/0136_2.m3u8?key=txiptv
四川卫视,http://223.75.149.129:9906/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://zgxsd.f3322.net:9901/tsfile/live/1076_1.m3u8?key=txiptv
四川卫视,http://120.233.73.4:19901/tsfile/live/1011_1.m3u8?key=txiptv
四川卫视,http://61.178.227.57:9901/tsfile/live/0123_1.m3u8?key=txiptv
云南卫视,http://223.75.149.129:9906/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://zgxsd.f3322.net:9901/tsfile/live/1050_1.m3u8?key=txiptv
 
